rollout,t,p_x,p_z,theta,v_x,v_z,omega,u_1,u_2,ref_p_x,ref_p_z,pos_error,att_error
0,0.26,0.0036091724990527374,0.017298121605180936,-0.08085061471527291,0.07129439800862458,0.214819361307347,-0.39430188946811295,5.401244175365237,5.559873062997455,0.0,0.0,0.017670629224663902,0.08085061471527291
0,0.28,0.005217564175196112,0.021817118850559935,-0.08794350806647408,0.0898030001066634,0.23705851744227166,-0.3149874456520041,5.502107020161517,5.57308667540597,0.0,0.0,0.022432334940031266,0.08794350806647408
0,0.3,0.007212673747333631,0.026802363912965484,-0.0938883587032919,0.10992651828878532,0.2614460631743822,-0.2794976180297777,5.457273655396281,5.561910892314222,0.0,0.0,0.027755888995103548,0.0938883587032919
0,0.32,0.009621711428514403,0.03226304361298272,-0.09895512487929775,0.13116249061441365,0.2846039900286747,-0.22717899957080734,5.420872785056263,5.53238351200084,0.0,0.0,0.03366721422967499,0.09895512487929775
0,0.34,0.012464482465302337,0.03817274688126258,-0.10294115123599101,0.15325940529555307,0.3063516704399821,-0.17142363609851863,5.382871922493019,5.493938952628821,0.0,0.0,0.040156219040003896,0.10294115123599101
0,0.36,0.015755481998595215,0.04450139003329773,-0.10581428880728237,0.17594414964987437,0.32650179162044946,-0.11589012103061735,5.340874921858688,5.4488536492116975,0.0,0.0,0.04720814471999243,0.10581428880728237
0,0.38,0.019503745344116637,0.05121514560925907,-0.10759219759112967,0.19894576506420636,0.34486695590100863,-0.06190075735411282,5.294339040146335,5.397730490151659,0.0,0.0,0.0548031679944304,0.10759219759112967
0,0.4,0.023712987817196204,0.05827645818263758,-0.10831325548818531,0.2220040313156624,0.3612615325806128,-0.010205032351450871,5.243163422869169,5.340782248461896,0.0,0.0,0.06291622501017685,0.10831325548818531
0,0.42,0.028381868704165907,0.06564407630684019,-0.10802926200725069,0.2448740967032906,0.3755013615209472,0.03860438044491277,5.187347431871868,5.278123254694363,0.0,0.0,0.07151695760670171,0.10802926200725069
0,0.44,0.03350433352742338,0.07327307097734632,-0.10680329528423996,0.2673298643911557,0.38740269065044264,0.08399229185616042,5.126897045848751,5.2098310747321355,0.0,0.0,0.08056974181147696,0.10680329528423996
